"" , "$Gender missing" , 6177535
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85060705+http://id.loc.gov/authorities/subjects/sh85132964" , "Males+College teachers+High school principals+Teachers" , 1
"$local" , "(naf) Males" , 12
"$local+http://id.loc.gov/authorities/subjects/sh85080137" , "male+Males" , 11
"$local" , "(lcgfg) Males" , 1
"$local" , "(lcdgt) Authors" , 4
"$local" , "(lcdgt) Malesd" , 3
"http://id.loc.gov/authorities/subjects/sh85054036" , "Geologists" , 1
"$local" , "(lcsh) Fem" , 1
"http://id.loc.gov/authorities/subjects/sh85029522" , "Computer programmers" , 1
"$local" , "Illustrators" , 1
"$local" , "(lcdg) Males" , 4
"http://id.loc.gov/authorities/demographicTerms/dg2015060485" , "Judges" , 1
"$local" , "(lcdgt) Males b" , 1
"$local+http://id.loc.gov/authorities/subjects/sh2006002132+http://id.loc.gov/authorities/subjects/sh2007003708" , "female+Male-to-female transsexuals+Transgender people" , 1
"$local" , "lat+spa" , 1
"$local" , "(lcdft) Fmales" , 1
"http://id.loc.gov/authorities/subjects/sh00006383" , "Lawyers" , 3
"$local" , "(l csh) Males" , 6
"$local" , "(lcdgt) Fales" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85053741" , "Males+Genealogists" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060667" , "Italians" , 1
"$local" , "female+ita" , 1
"$local" , "(lcsh) Wome" , 2
"$local" , "ind" , 8
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "(iso5218) female+Females" , 4
"$local" , "(lcdgt) Music" , 3
"$local" , "eng+ger" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85008276" , "male+Artists" , 3
"$local" , "Males+lcdgt" , 7
"$local+http://id.loc.gov/authorities/subjects/sh85080137" , "#+Males" , 3
"$local" , "Flugelhorn player" , 1
"$local" , "Females 2lcdgt" , 1
"http://id.loc.gov/authorities/subjects/sh85088041" , "Motion picture editors" , 1
"$local" , "Females $2 lcdgt+Males $2 lcdgt" , 1
"$local" , "(lcdgt) Mlaes" , 3
"$local" , "male female" , 3
"$local" , "srp" , 3
"http://id.loc.gov/authorities/subjects/sh85118942+http://id.loc.gov/authorities/subjects/sh85133601" , "Screenwriters+Television producers and directors" , 2
"$local" , "(;cdgt) Females" , 1
"$local" , "femenino+female" , 1
"$local" , "(homoit) Intersex people" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85101610" , "Males+Physicians" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "spa+Males" , 4
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85075119" , "Females+Law" , 1
"http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85088941+http://id.loc.gov/authorities/subjects/sh96008642" , "Composers+Music teachers+Carillonneurs" , 1
"$local" , "(lcdgt) Fmales" , 4
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "asm+Males" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060362" , "Males+African Americans" , 2
"$local" , "male+fre" , 1
"$local" , "(homoit) Queer people" , 1
"$local" , "heb" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85047734" , "chi+Females" , 1
"$local" , "mele" , 2
"$local" , "chi+eng" , 1
"$local" , "7" , 1
"$local" , "féminin" , 2
"$local+$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "spa+eng+Females" , 1
"$local" , "femle" , 3
"http://id.loc.gov/authorities/subjects/sh85080137+http://id.loc.gov/authorities/subjects/sh87003462" , "Males+Human rights workers" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85060718" , "Males+High school teachers" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "kha+Males" , 1
"$local" , "transsexual woman" , 2
"$local" , "female $2 lcdgt" , 6
"$local" , "(lcdgt) Femalses" , 1
"$local" , "(lcsh) women" , 1
"$local" , "(lcsh) Feales" , 5
"$local" , "(lcsh) Msales" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "eng+Females" , 9
"$local" , "Civil engineering" , 1
"$local" , "(lcdgt) Ma;es" , 1
"$local" , "(lcgt) Males" , 1
"$local+http://id.loc.gov/authorities/subjects/sh00006046" , "male+Historiography" , 1
"$local" , "(lcsh) Femalesx" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "rus+Males" , 4
"$local+http://id.loc.gov/authorities/subjects/sh85047734" , "female+Females" , 7
"$local" , "Females d2 lcdgt" , 6
"$local" , "(csh) Males" , 1
"http://id.loc.gov/authorities/subjects/sh85136767" , "Traffic engineers" , 1
"$local" , "male+tam" , 1
"$local" , "Males 2 lcsh" , 2
"$local" , "ger+spa" , 1
