"http://id.loc.gov/authorities/names/n98104109" , "$local" , "(lcsh) Males s"
"http://id.loc.gov/authorities/names/n2018228109" , "$local" , "eng"
"http://id.loc.gov/authorities/names/no2020132609" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85009793" , "Females+Authors"
"http://id.loc.gov/authorities/names/n2016025609" , "http://id.loc.gov/authorities/subjects/sh85047734+http://id.loc.gov/authorities/subjects/sh85108746" , "Females+Public prosecutors"
"http://id.loc.gov/authorities/names/no2020085949" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/names/no2002082837" , "Males+Kalinga Institute of Industrial Technology, Bhubaneswar"
"http://id.loc.gov/authorities/names/n79005665" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060133" , "Males+Illustrators"
"http://id.loc.gov/authorities/names/n2004026249" , "$local" , "female+pol"
"http://id.loc.gov/authorities/names/no2018049749" , "$local+http://id.loc.gov/authorities/subjects/sh85047734" , "eng+Females"
"http://id.loc.gov/authorities/names/n50002749" , "$local" , "male+spa"
"http://id.loc.gov/authorities/names/n79045539" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85055980+http://id.loc.gov/authorities/subjects/sh85122826" , "Males+Composers+Gospel musicians+Singers"
"http://id.loc.gov/authorities/names/n81007284" , "$local" , "(homoit) Genderqueer people"
"http://id.loc.gov/authorities/names/no2020008449" , "$local" , "eng"
"http://id.loc.gov/authorities/names/no2019008349" , "$local" , "spa"
"http://id.loc.gov/authorities/names/no2017155349" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Males+Transgender people"
"http://id.loc.gov/authorities/names/n85006349" , "$local" , "spa"
"http://id.loc.gov/authorities/names/no2014069149" , "$local" , "ben"
"http://id.loc.gov/authorities/names/n78095330" , "$local" , "eng"
"http://id.loc.gov/authorities/names/n80115649" , "$local" , "eng"
"http://id.loc.gov/authorities/names/no2010022989" , "$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "eng+Males"
"http://id.loc.gov/authorities/names/n2018070989" , "$local" , "(lcdgt) Femlaes"
"http://id.loc.gov/authorities/names/nr92038119" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85009793" , "Males+Authors"
"http://id.loc.gov/authorities/names/ns2020000789" , "$local" , "eng"
"http://id.loc.gov/authorities/names/no2017097089" , "$local" , "femalea"
"http://id.loc.gov/authorities/names/n78095330" , "http://id.loc.gov/authorities/demographicTerms/dg2015060398" , "Gender minorities"
"http://id.loc.gov/authorities/names/n78095330" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060005" , "Males+Females+Transsexuals"
"http://id.loc.gov/authorities/names/n79065853" , "$local" , "unknown"
"http://id.loc.gov/authorities/names/no2018155089" , "$local" , "Females 2 lcdgt"
"http://id.loc.gov/authorities/names/no2011083089" , "$local" , "female+Author"
"http://id.loc.gov/authorities/names/no2019013089" , "$local" , "spa"
"http://id.loc.gov/authorities/names/no2017086089" , "$local" , "Females+lcdgt"
"http://id.loc.gov/authorities/names/no2015098489" , "$local+$local+http://id.loc.gov/authorities/subjects/sh2007003708+http://id.loc.gov/authorities/subjects/sh85047734" , "Transgender woman+Trans woman+Transgender people+Females"
"http://id.loc.gov/authorities/names/no2019138489" , "$local" , "eng"
"http://id.loc.gov/authorities/names/no2017111489" , "$local" , "femele"
"http://id.loc.gov/authorities/names/no2019132439" , "http://id.loc.gov/authorities/subjects/sh85064419" , "Illustrators"
"http://id.loc.gov/authorities/names/n85308968" , "http://id.loc.gov/authorities/subjects/sh85075333" , "Law teachers"
"http://id.loc.gov/authorities/names/no2020080589" , "http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/demographicTerms/dg2015060358" , "Transgender people+Women"
"http://id.loc.gov/authorities/names/no2013124589" , "$local" , "unknown"
"http://id.loc.gov/authorities/names/no2016083350" , "http://id.loc.gov/authorities/subjects/sh85020430" , "Carpenters"
"http://id.loc.gov/authorities/names/n79089782" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85087526" , "Females+Mothers"
"http://id.loc.gov/authorities/names/n2018072189" , "$local" , "fre"
"http://id.loc.gov/authorities/names/n79046084" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060304" , "Females+Lesbians"
"http://id.loc.gov/authorities/names/n80097501" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060362" , "Females+African Americans"
"http://id.loc.gov/authorities/names/no2015051689" , "$local" , "male."
"http://id.loc.gov/authorities/names/no2020109959" , "http://id.loc.gov/authorities/demographicTerms/dg2015060398" , "Gender minorities"
"http://id.loc.gov/authorities/names/nb2019019959" , "$local" , "fem"
"http://id.loc.gov/authorities/names/n88678058" , "$local" , "unknown"
"http://id.loc.gov/authorities/names/n82068148" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Females+Transgender people"
"http://id.loc.gov/authorities/names/n81039599" , "$local" , "Females $2 lcdgt"
"http://id.loc.gov/authorities/names/no2015112259" , "$local" , "spa"
"http://id.loc.gov/authorities/names/nb2014006259" , "$local" , "unknown"
"http://id.loc.gov/authorities/names/no2019109759" , "$local" , "fre"
"http://id.loc.gov/authorities/names/n2016024759" , "$local+http://id.loc.gov/authorities/subjects/sh85047734" , "eng+Females"
"http://id.loc.gov/authorities/names/n79007751" , "http://id.loc.gov/authorities/subjects/sh85029386" , "Composers"
"http://id.loc.gov/authorities/names/no2015114059" , "$local" , "lcdgt+Males"
"http://id.loc.gov/authorities/names/n2018069859" , "$local" , "male+eng"
"http://id.loc.gov/authorities/names/n2014007859" , "$local" , "male."
"http://id.loc.gov/authorities/names/no2018120859" , "$local" , "(lcdgt) femals"
"http://id.loc.gov/authorities/names/n78095330" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Males+Transgender people"
"http://id.loc.gov/authorities/names/no2018014559" , "$local" , "male $2 lcdgt"
"http://id.loc.gov/authorities/names/n78095330" , "http://id.loc.gov/authorities/subjects/sh2017004882" , "Gender-nonconforming people"
"http://id.loc.gov/authorities/names/no2020150359" , "$local" , "masculin"
"http://id.loc.gov/authorities/names/n79041725" , "$local" , "eng"
"http://id.loc.gov/authorities/names/no95038014" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Females+Transgender people"
"http://id.loc.gov/authorities/names/n2016047159" , "$local" , "pol"
"http://id.loc.gov/authorities/names/n79021326" , "$local" , "intersex+female"
"http://id.loc.gov/authorities/names/n78049939" , "$local" , "por"
"http://id.loc.gov/authorities/names/no2018112939" , "$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "dut+Males"
"http://id.loc.gov/authorities/names/no2013139568" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2016060024" , "Females+University and college faculty members"
"http://id.loc.gov/authorities/names/n2017001239" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85046064" , "Females+Ex-farmers"
"http://id.loc.gov/authorities/names/n82068148" , "http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Males+Females+Transgender people"
"http://id.loc.gov/authorities/names/no2018136739" , "$local" , "spa"
"http://id.loc.gov/authorities/names/no2019013039" , "$local" , "spa"
"http://id.loc.gov/authorities/names/n79131495" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060304" , "Females+Lesbians"
"http://id.loc.gov/authorities/names/n2015200839" , "$local" , "[gender]"
"http://id.loc.gov/authorities/names/no2012147082" , "http://id.loc.gov/authorities/subjects/sh85101610" , "Physicians"
"http://id.loc.gov/authorities/names/no2019143839" , "$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "jpn+Females"
"http://id.loc.gov/authorities/names/n79063282" , "http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006" , "Females+Transgender people"
